record_id,dr_no
0,190326475
1,200106753
2,200320258
3,200907217
4,220614831
5,231808869
6,230110144
7,220314085
8,231309864
9,211904005
10,221804943
11,221908151
12,230204214
13,230409878
14,221008844
15,230207571
16,230312288
17,231805781
18,231322474
19,210705560
20,221016258
21,220705246
22,230808643
23,231005010
24,231907172
25,232011098
26,200412582
27,232112438
28,221105176
29,222106031
30,211209197
31,220808837
32,231207725
33,231205231
34,231108757
35,221404806
36,220215983
37,211220472
38,211818877
39,221515929
40,230406865
41,231915767
42,221016530
43,231210407
44,220208037
45,221504294
46,221312369
47,220911866
48,231906599
49,230610629
50,220321807
51,221216052
52,241504067
53,220508440
54,220213256
55,221607555
56,221516944
57,230617817
58,231115685
59,221706738
60,231707687
61,230711357
62,220409258
63,220119956
64,240604173
65,220104934
66,230817493
67,221718084
68,221110929
69,231711735
70,231912127
71,231818830
72,221710268
73,231007464
74,221917823
75,211404152
76,231205374
77,231505589
78,231420506
79,221508505
80,231817823
81,231212586
82,220309099
83,230810411
84,201810154
85,221412410
86,211505284
87,220209598
88,220316688
89,231814007
90,221209581
91,220917870
92,221017007
93,232112058
94,220313293
95,220320985
96,221411125
97,221909318
98,231510293
99,230714162
100,221110658
101,220207597
102,221713038
103,221105273
104,221700646
105,230710696
106,231510050
107,230911729
108,221209383
109,220211619
110,231105297
111,232011006
112,221308122
113,201410122
114,231709319
115,221917253
116,220204234
117,220604399
118,231320297
119,221511470
120,221516098
121,230118041
122,221205458
123,231315967
124,220514938
125,230606306
126,221507710
127,221300973
128,222114709
129,221006046
130,221609983
131,221806358
132,221315910
133,230908117
134,231309176
135,232014656
136,221905982
137,230109090
138,221309225
139,210904288
140,231905726
141,221615196
142,220120619
143,220610269
144,230218442
145,221004804
146,232110833
147,222004619
148,220208989
149,231806653
150,220706120
151,230208225
152,221806331
153,210704053
154,231221370
155,221016479
156,221011289
157,231421770
158,221811572
159,230404996
160,231223482
161,232117501
162,221220860
163,220504655
164,230813464
165,231905565
166,220910623
167,221226041
168,231207476
169,221708027
170,220717687
171,230507674
172,220909334
173,221015665
174,221225047
175,231810634
176,230513434
177,221007765
178,220311221
179,231014326
180,220318793
181,221209976
182,230605916
183,241204387
184,231420590
185,230113770
186,220712955
187,230710300
188,220717203
189,220904776
190,221006113
191,231007048
192,221711184
193,220407814
194,231205329
195,220619758
196,211104796
197,241204463
198,222010418
199,222013040
200,211206198
201,220712765
202,221308438
203,221715152
204,201112065
205,220404852
206,221106692
207,221908420
208,221818077
209,221606564
210,221715311
211,231304505
212,221220098
213,231906446
214,231305562
215,230510455
216,231309128
217,231106607
218,220509276
219,221404672
220,231506571
221,231210462
222,240604147
223,220507155
224,230212736
225,220911160
226,212015258
227,221315909
228,230413909
229,221304833
230,231411022
231,230409692
232,211711508
233,221810933
234,220606971
235,231512931
236,231906802
237,222005367
238,231817789
239,230707560
240,231613896
241,230818547
242,220608736
243,221004913
244,231204446
245,231205201
246,211313647
247,220509193
248,230708191
249,221700766
250,231220613
251,230309403
252,220506019
253,231107419
254,221204063
255,221225797
256,231809755
257,220411016
258,230710560
259,221505387
260,232005220
261,231309161
262,232110125
263,230306591
264,221913440
265,210217152
266,211804895
267,220604806
268,221404880
269,221822433
270,220218655
271,231706742
272,241604069
273,231809250
274,211105454
275,220605785
276,221604268
277,232006335
278,221912723
279,221218237
280,222008928
281,221304490
282,230305615
283,220817021
284,230220152
285,220206045
286,230710295
287,221605629
288,221907310
289,221605942
290,220221083
291,210805061
292,221418972
293,220116036
294,221916942
295,210304538
296,220605303
297,220407289
298,220504793
299,211206256
300,231404594
301,221916382
302,230110332
303,230320974
304,232104037
305,220319193
306,231110558
307,221509576
308,221314362
309,230604435
310,220908425
311,230911235
312,230818509
313,232109597
314,221011819
315,231711215
316,230507982
317,230714761
318,221211022
319,230506149
320,221313048
321,241904532
322,230309845
323,231810615
324,220110779
325,231312744
326,220106694
327,230126260
328,231223480
329,221507610
330,231218307
331,220611171
332,220705297
333,231805308
334,231311304
335,220804051
336,221005035
337,220917253
338,220214942
339,220620646
340,231613511
341,230609606
342,221606629
343,222104573
344,220413587
345,220705715
346,221707355
347,211611263
348,232004972
349,221704892
350,222012456
351,220614618
352,220515613
353,221411398
354,230304640
355,222108906
356,221608687
357,230218441
358,221210385
359,231712864
360,212015778
361,231214436
362,231308748
363,221907738
364,220517340
365,230704658
366,220321001
367,231717780
368,230809796
369,221108981
370,231204979
371,220310780
372,230506618
373,210907013
374,210205090
375,221507368
376,240904504
377,221409128
378,221205529
379,221516877
380,230714857
381,211409233
382,231412171
383,220517192
384,221207508
385,222106975
386,221209243
387,220206809
388,200406391
389,221212344
390,221905893
391,221417043
392,231007023
393,221216517
394,231015060
395,211304794
396,220609836
397,230110262
398,232004462
399,232113429
400,230716588
401,221004727
402,232110277
403,221110416
404,231017522
405,231911608
406,230613179
407,221210279
408,230308058
409,220813413
410,231109634
411,220310688
412,231310841
413,221307277
414,232017416
415,221706832
416,202112289
417,221008947
418,221505374
419,210305239
420,221614254
421,221210224
422,231509915
423,231311162
424,221916140
425,231813707
426,231808628
427,220814938
428,221212785
429,221606131
430,210805827
431,231220373
432,221010828
433,230114808
434,222113244
435,220704424
436,222017661
437,221516921
438,221607647
439,231609210
440,220611494
441,221506757
442,231109830
443,220818200
444,220320024
445,230319519
446,221011732
447,221224187
448,220705842
449,221507765
450,210804049
451,231210693
452,230312511
453,230209650
454,220806369
455,221911806
456,230612691
457,231208015
458,221004502
459,220208280
460,211705203
461,201310253
462,220911563
463,230907876
464,230119627
465,220619815
466,220317214
467,231207740
468,220815553
469,220204577
470,211408216
471,221217505
472,231614496
473,220710510
474,220416014
475,220221184
476,221907753
477,220114107
478,221218085
479,221916426
480,221810263
481,231304402
482,230618170
483,221717327
484,220407062
485,221513237
486,211518743
487,220512901
488,230618916
489,231309992
490,221704519
491,221709277
492,211420201
493,211804059
494,210905375
495,221513146
496,231717646
497,220704526
498,221305923
499,220917252
500,230205256
501,231321415
502,222009929
503,200114396
504,220811962
505,221206342
506,221106367
507,221115990
508,220214438
509,231013980
510,222019280
511,221411798
512,230604935
513,220505308
514,221225134
515,220706832
516,220818171
517,231807447
518,231317622
519,221819021
520,220110351
521,221222171
522,221811447
523,210107732
524,221006093
525,221217989
526,221209376
527,220917492
528,230515145
529,220914148
530,230317144
531,220707271
532,221514248
533,200912561
534,221908403
535,221915597
536,231713766
537,222006554
538,220319411
539,220817417
540,231510452
541,211504819
542,210608827
543,231008104
544,232004501
545,230507151
546,221804340
547,230718552
548,230514897
549,221507119
550,231515086
551,221908685
552,231419365
553,221507756
554,221213844
555,222104705
556,221519127
557,220505934
558,231211752
559,222109748
560,210806271
561,221222580
562,221418375
563,211004916
564,231812149
565,211410751
566,220106363
567,221217696
568,221612433
569,230108364
570,231205719
571,220220118
572,221209255
573,221704329
574,221913658
575,221806506
576,212009203
577,230208100
578,231505784
579,221404692
580,241804050
581,240904134
582,231806065
583,220508966
584,222106102
585,221419817
586,210117309
587,220206927
588,231611191
589,231512148
590,221706445
591,231207678
592,231709524
593,232112798
594,221611892
595,220414491
596,220126052
597,221506014
598,221404829
599,221509250
600,221421185
601,211505747
602,231006812
603,220204516
604,222007542
605,220117108
606,231915417
607,231006256
608,221218637
609,231716502
610,221517779
611,230206138
612,231013475
613,220515869
614,230612659
615,220208449
616,231007020
617,210709140
618,211505552
619,231805059
620,210809259
621,220110263
622,231715837
623,221810106
624,222107696
625,231208669
626,230215957
627,221912089
628,211605013
629,232014776
630,220511322
631,222116012
632,221607970
633,222007501
634,221411380
635,232017254
636,222115665
637,230604864
638,221718329
639,221715853
640,221418374
641,222111399
642,230307948
643,220709413
644,231109198
645,200905707
646,220910848
647,230516031
648,220221510
649,211106748
650,232104887
651,221216200
652,231509430
653,220107460
654,221809781
655,232112493
656,231407360
657,210906739
658,230604663
659,231421914
660,230415586
661,231511384
662,220705301
663,231204292
664,220314618
665,221704906
666,220615948
667,220505776
668,230116672
669,221809652
670,230406446
671,211209532
672,230207636
673,221206083
674,221811443
675,220208285
676,221510639
677,231009710
678,220410114
679,221320934
680,221306072
681,221614062
682,222105110
683,221407828
684,220505521
685,230406805
686,231210177
687,230304767
688,221607048
689,210505803
690,231805325
691,221817884
692,231604399
693,221915337
694,221004960
695,231510763
696,231106617
697,221420690
698,231307252
699,230516282
700,220715286
701,221322455
702,220308220
703,221917036
704,221308375
705,221512237
706,220111774
707,220506283
708,222117263
709,220406802
710,231109831
711,221225690
712,221611890
713,210908888
714,210404363
715,220106106
716,222105712
717,230217098
718,221607826
719,231505624
720,221405000
721,220711710
722,221009305
723,220610693
724,221806712
725,221706362
726,221305642
727,221806711
728,231010971
729,220804236
730,221505658
731,230610642
732,221715285
733,231715425
734,210708528
735,220907962
736,231513527
737,220613819
738,221707353
739,221806077
740,231415437
741,221310643
742,222006040
743,231910853
744,221511143
745,231611060
746,231708351
747,231804935
748,231507204
749,222011043
750,221216573
751,231716371
752,230904576
753,220613587
754,231304936
755,231008955
756,221810128
757,221718119
758,230312512
759,230117531
760,220710103
761,220105454
762,221110794
763,221000883
764,232010431
765,220709236
766,220207142
767,222019482
768,221916494
769,220917796
770,210705163
771,232108067
772,222005167
773,221004454
774,221709079
775,232104840
776,231208405
777,221407872
778,231306429
779,221407832
780,232110766
781,221307404
782,221211864
783,221715312
784,230618649
785,230309680
786,220220487
787,221916131
788,221005218
789,231804643
790,220305685
791,231715652
792,231218894
793,230504426
794,222007966
795,221917878
796,231212872
797,230404804
798,220512200
799,220604150
800,220109442
801,231412095
802,210808759
803,220504759
804,220707275
805,231711731
806,220318720
807,211406426
808,220613117
809,231110083
810,220306276
811,220318758
812,231804115
813,201511143
814,231214452
815,231609173
816,221006841
817,220404154
818,230706782
819,231306038
820,220817354
821,230314458
822,221515656
823,220404758
824,230106509
825,221307738
826,231221484
827,221014385
828,212111298
829,221322193
830,221918167
831,210206749
832,230114590
833,212106349
834,221208508
835,211404448
836,241204450
837,220315466
838,221222292
839,222019110
840,221107379
841,231613718
842,221410135
843,221822190
844,231405764
845,231004261
846,220808005
847,220108255
848,220412117
849,221110194
850,230704850
851,231109377
852,222110400
853,230916996
854,231223987
855,232015967
856,212115371
857,231009996
858,221704065
859,221107905
860,221906797
861,221610929
862,231321739
863,220810198
864,220718228
865,220513949
866,220510809
867,231306523
868,220515053
869,221612872
870,212005882
871,230606590
872,231212326
873,221319009
874,221214276
875,221223354
876,221110474
877,240904082
878,221313546
879,220617754
880,241204448
881,220710490
882,221322933
883,211704018
884,230506258
885,222115311
886,231907171
887,220717331
888,221322196
889,220808996
890,221508746
891,221704848
892,221614389
893,220416185
894,221105114
895,221316918
896,221319458
897,230905264
898,221514166
899,220106667
900,221604195
901,221005417
902,232009541
903,231715667
904,220911156
905,231820987
906,222007220
907,231310852
908,220509311
909,220806536
910,222013904
911,221218275
912,220304310
913,220304311
914,232110968
915,222106599
916,231307986
917,221614385
918,220805315
919,231209551
920,220612379
921,231210119
922,222117701
923,231507736
924,221516997
925,220308398
926,210605032
927,230606956
928,221017702
929,232008549
930,221821949
931,220616628
932,220804701
933,220111693
934,230608066
935,230221295
936,221109039
937,221404794
938,231916568
939,231308569
940,231514037
941,231907935
942,220221673
943,231215913
944,220605196
945,222005269
946,211506042
947,231108513
948,220804378
949,221214939
950,220322029
951,231219251
952,221808474
953,221207260
954,221714096
955,222011168
956,212104482
957,220904316
958,231715494
959,211705022
960,221808473
961,221514872
962,221418660
963,230405444
964,210605155
965,231223483
966,221912349
967,222011665
968,220116792
969,221005036
970,221115841
971,221010902
972,231109641
973,231204451
974,210206454
975,221704520
976,232007295
977,231510507
978,210604151
979,232017258
980,230109313
981,221504303
982,230808592
983,240304549
984,231107472
985,220910836
986,230212110
987,221916217
988,220909185
989,231420990
990,231204321
991,231717133
992,232009763
993,231513372
994,221013527
995,231107300
996,221609445
997,222017127
998,220813395
999,220609056
