status,status_desc
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
JA,Juv Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
JA,Juv Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
JO,Juv Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
JO,Juv Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
JO,Juv Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
JO,Juv Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
JA,Juv Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
AO,Adult Other
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AO,Adult Other
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
AA,Adult Arrest
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
IC,Invest Cont
