record_id,age,sex,descent
0,0,M,O
1,47,M,O
2,19,X,X
3,19,M,O
4,28,M,H
5,41,M,H
6,25,M,H
7,27,F,B
8,24,F,B
9,26,M,H
10,26,M,B
11,8,F,H
12,7,F,W
13,8,F,H
15,13,F,H
16,56,M,B
17,22,F,B
18,23,M,B
19,31,F,O
20,30,F,O
21,57,F,B
22,56,F,W
23,10,F,H
24,12,F,H
25,7,F,H
27,46,M,B
28,30,F,W
30,51,M,B
31,24,F,O
32,37,M,H
33,27,M,H
34,20,M,A
37,29,F,H
38,26,M,B
39,33,M,W
40,34,F,B
41,15,F,H
42,65,M,W
43,59,F,W
44,15,F,H
45,9,M,W
46,33,M,H
47,34,F,W
48,35,M,O
49,0,X,X
50,50,M,B
51,28,F,B
52,37,M,W
53,64,M,H
54,79,M,B
55,40,F,H
56,59,M,O
58,27,M,W
59,10,F,H
60,44,M,O
61,32,F,H
62,16,M,H
63,22,F,B
64,21,M,W
65,0,X,X
66,42,F,H
67,15,F,H
68,34,F,W
69,46,F,H
70,46,F,H
71,6,M,B
72,72,F,H
73,28,F,H
74,23,M,B
75,44,F,H
76,35,M,B
77,10,F,W
78,60,F,B
80,32,F,H
81,36,F,B
82,72,F,B
83,25,M,W
86,18,F,H
87,27,F,B
88,27,F,O
89,29,F,B
90,9,F,H
91,41,F,O
92,44,F,W
93,17,F,W
94,25,F,B
95,5,F,H
96,46,F,H
97,36,M,H
99,18,M,B
100,39,M,C
101,62,M,H
102,32,M,O
104,5,F,H
105,26,F,H
106,29,F,H
107,56,F,H
108,24,M,H
109,32,M,H
110,25,M,W
111,44,M,H
112,30,F,B
114,42,M,H
116,58,F,W
117,30,M,B
118,51,M,H
119,63,M,W
120,29,M,W
121,59,F,A
122,14,F,H
123,12,F,H
124,12,F,H
125,30,F,W
126,71,F,W
127,14,F,H
128,42,F,B
129,69,F,O
130,49,F,W
131,26,F,O
132,63,M,H
133,41,M,W
134,57,M,B
135,24,F,O
136,15,F,H
137,36,M,B
138,29,M,H
139,22,F,W
140,5,F,H
141,22,M,W
142,26,M,H
143,38,M,W
144,13,F,H
145,61,M,B
146,33,F,A
147,63,M,K
148,28,M,O
149,0,X,X
150,27,F,B
151,20,F,B
152,28,M,H
153,31,F,W
154,37,F,B
155,59,F,H
156,43,M,H
157,45,M,O
158,63,M,B
159,78,F,H
160,0,X,X
161,25,M,O
162,67,M,H
163,0,X,X
164,25,F,W
165,26,F,H
166,53,F,W
167,57,F,B
168,72,M,B
169,35,F,H
170,26,M,W
171,28,M,H
172,47,M,W
173,25,F,H
174,29,F,B
175,21,M,B
176,54,F,H
178,19,X,X
179,37,F,B
180,11,F,H
181,23,F,H
182,35,M,O
183,39,M,B
184,37,M,W
185,60,M,O
186,59,F,O
187,34,F,W
188,54,F,J
189,48,M,W
190,46,M,H
191,20,F,F
192,27,M,B
193,10,F,H
194,36,F,B
195,10,F,H
196,0,X,X
197,35,F,O
198,33,F,H
199,60,M,H
200,56,M,H
201,28,F,B
202,50,M,H
203,41,M,H
205,0,M,H
206,26,M,H
207,13,F,W
208,6,F,B
209,37,M,X
210,30,M,O
211,28,M,B
212,73,F,H
213,5,F,H
214,50,X,H
215,36,F,B
216,23,M,O
217,10,F,W
218,64,F,O
219,54,F,A
220,21,F,W
221,14,F,H
222,32,F,B
223,26,F,H
225,59,M,O
226,22,M,K
227,34,F,H
228,22,F,H
229,33,M,B
230,22,M,B
231,38,F,H
232,36,M,O
233,0,X,X
234,52,M,W
235,29,M,B
236,54,M,H
237,42,M,B
238,41,M,B
239,43,M,H
240,33,F,W
241,0,X,X
242,57,F,W
243,45,F,W
244,22,F,O
245,24,F,B
246,27,F,W
248,48,F,W
249,37,M,H
250,42,F,B
251,30,F,O
252,12,M,H
253,40,M,H
254,21,M,H
256,42,M,B
257,68,M,H
258,18,F,B
259,39,F,H
260,31,F,H
261,45,M,H
262,81,M,W
263,54,F,K
264,78,F,W
265,8,F,F
266,53,F,H
267,54,F,B
268,32,M,W
269,27,F,H
270,22,M,H
271,11,F,W
272,10,F,H
273,30,F,B
274,60,M,W
275,41,M,W
276,44,M,W
277,38,F,H
278,56,F,H
279,8,F,H
280,62,M,A
281,29,F,B
282,33,F,W
283,32,M,H
284,34,M,B
285,38,M,B
286,29,F,B
287,11,F,H
288,7,F,H
289,14,F,H
290,19,F,B
291,62,M,W
292,28,F,H
293,48,M,B
294,8,M,B
295,6,F,B
296,28,M,W
297,12,F,H
298,28,F,H
299,31,M,I
300,54,M,O
301,31,F,B
302,19,F,W
303,50,M,B
304,23,F,W
305,53,M,B
306,26,M,B
307,48,M,H
308,53,F,H
309,45,F,W
310,50,F,H
311,46,M,O
312,44,F,W
313,52,M,W
314,80,F,K
315,51,M,B
316,14,F,W
317,33,F,J
318,41,F,H
320,51,M,O
321,8,F,B
322,30,M,W
323,3,M,B
324,55,F,A
325,7,F,H
326,0,X,X
327,28,M,W
328,0,X,X
329,33,F,B
330,28,F,B
331,49,M,O
332,44,F,H
333,23,F,O
334,31,M,J
335,37,F,W
336,13,F,H
337,20,F,H
338,43,M,V
339,58,F,W
340,22,M,H
341,58,M,B
342,43,F,H
343,38,F,W
344,50,F,H
345,27,M,B
346,62,M,C
347,16,F,H
348,10,F,H
349,46,F,W
350,11,M,H
351,28,F,H
352,18,F,H
353,50,F,H
354,29,F,B
355,19,M,H
356,6,F,H
357,17,F,H
358,52,F,B
359,31,F,B
360,89,F,K
361,27,F,B
362,32,M,O
363,16,M,H
364,25,F,H
365,32,F,B
366,44,F,H
367,44,M,A
368,70,M,W
369,37,M,W
370,21,F,B
371,13,M,H
372,0,M,O
373,59,M,O
374,35,F,H
375,15,F,H
376,33,F,W
377,18,F,B
378,8,F,H
379,14,F,H
380,33,F,J
382,0,M,W
383,53,M,H
384,32,F,H
385,35,M,H
386,36,M,B
387,54,F,F
388,27,M,W
389,59,M,W
390,52,F,H
391,77,M,O
392,61,M,W
393,22,F,B
394,31,F,H
395,18,F,H
396,46,M,W
397,23,F,B
398,54,F,H
399,32,M,B
400,50,F,W
401,56,F,W
402,41,M,W
403,37,M,O
405,7,F,H
406,37,M,O
407,42,F,B
408,32,M,B
409,56,M,A
410,0,X,X
411,60,M,W
412,29,M,H
413,26,F,S
414,29,M,O
415,35,F,W
417,48,F,W
418,23,M,H
419,42,F,H
420,22,F,H
421,47,M,B
422,30,F,H
423,43,F,H
424,10,F,H
425,51,F,B
426,33,M,H
427,42,M,W
428,52,F,B
429,57,F,H
430,41,M,W
431,12,F,W
432,26,F,H
433,28,F,H
435,32,F,W
436,52,F,K
437,41,M,W
438,12,F,H
439,20,M,W
440,14,M,H
441,32,M,O
442,0,X,X
443,53,M,A
444,24,F,H
445,31,M,B
446,83,F,O
447,31,F,B
448,65,M,O
449,91,F,W
450,32,M,W
451,47,M,B
452,40,F,B
454,82,F,W
455,31,M,H
456,25,M,B
457,39,M,O
458,54,F,H
459,28,F,H
460,0,M,W
461,30,M,W
462,33,F,B
463,52,M,W
465,58,F,H
466,56,F,B
467,52,M,O
468,47,M,W
469,49,M,B
471,36,M,B
472,14,F,H
473,19,X,X
474,75,M,H
475,19,F,B
476,18,F,H
477,23,M,B
478,42,M,O
479,37,M,H
480,21,M,H
481,7,F,H
482,34,F,W
483,30,F,W
484,56,F,H
485,59,M,H
486,13,F,O
487,24,F,B
488,49,F,H
489,39,F,H
490,72,F,W
491,40,F,W
492,31,F,W
493,30,M,B
496,33,M,B
497,36,F,W
498,16,F,H
499,5,M,H
500,32,M,W
501,42,M,B
502,36,M,W
504,68,M,W
505,23,F,B
506,54,M,H
507,7,M,H
509,28,F,O
510,75,F,O
511,16,F,W
512,49,F,W
513,49,F,B
514,37,M,O
516,29,F,O
517,34,M,B
519,28,F,B
520,39,M,B
521,0,X,X
522,13,F,H
523,0,M,X
524,70,F,W
525,54,M,B
526,40,M,B
527,41,F,O
528,22,F,H
529,59,M,O
530,23,M,B
531,53,M,B
532,30,F,W
534,31,F,H
535,9,F,H
536,22,M,H
537,21,M,H
538,34,F,H
539,55,F,W
540,33,M,W
542,53,M,W
543,62,M,W
544,48,F,W
545,13,F,H
546,34,F,B
547,60,M,O
548,36,M,H
549,16,F,W
550,25,F,W
551,19,M,B
552,33,M,H
553,33,M,W
554,31,M,B
555,16,M,O
556,40,M,W
557,33,M,H
558,27,F,B
559,34,M,W
560,0,X,X
561,10,F,B
562,23,F,H
563,48,M,H
564,76,M,H
565,30,F,B
566,31,F,W
567,56,M,H
568,74,M,W
569,43,M,B
570,20,F,O
571,44,F,O
572,46,M,H
573,42,F,W
574,41,M,H
575,24,F,H
576,43,M,H
577,31,M,B
578,34,F,O
579,56,M,W
580,30,F,B
581,30,F,O
582,11,F,H
583,35,F,H
584,0,M,W
585,22,F,B
586,0,M,O
587,37,F,W
588,65,M,H
589,25,M,B
590,52,F,V
592,23,F,F
593,45,F,W
594,13,F,W
596,31,M,H
598,0,X,X
599,33,F,W
600,44,M,W
601,28,F,H
602,30,F,W
604,35,M,A
605,48,F,B
606,4,F,W
607,50,M,O
608,38,M,W
609,37,M,O
610,25,F,W
611,46,M,W
612,69,M,W
613,26,M,O
614,45,M,W
615,10,F,H
616,16,F,H
618,52,M,W
619,33,M,B
620,13,F,W
621,52,M,W
622,65,F,W
623,0,X,X
624,61,M,O
625,16,F,B
626,35,F,W
627,14,F,O
628,36,F,H
629,3,M,H
630,40,F,H
631,21,F,B
632,32,M,H
633,0,X,X
634,31,F,H
635,56,F,H
636,38,M,W
637,62,F,B
638,8,F,W
639,11,F,H
640,22,M,H
641,26,F,H
642,23,M,B
643,22,F,H
644,27,M,H
646,59,F,H
647,38,F,B
648,30,F,B
649,50,F,F
650,22,M,O
651,65,F,B
652,52,F,W
653,26,F,B
654,41,F,H
655,0,M,W
656,32,M,W
658,22,M,W
659,25,F,W
660,11,F,H
661,29,F,W
662,34,M,H
663,21,M,B
664,71,F,B
665,47,M,W
666,31,F,H
667,29,F,B
668,32,F,O
669,31,M,H
670,48,F,H
671,48,F,H
672,51,F,H
673,70,F,B
674,36,F,B
675,20,M,O
676,58,M,H
677,27,M,W
678,23,F,H
679,53,F,H
680,20,M,B
681,48,F,H
682,41,M,W
683,60,M,H
684,42,M,H
685,20,F,H
686,0,M,W
687,72,M,H
688,32,M,O
689,0,X,X
690,2,M,B
691,43,F,H
692,21,M,H
693,38,F,H
694,14,F,W
695,44,F,W
696,58,F,W
697,52,M,W
698,22,F,B
700,59,F,W
701,48,F,B
702,24,M,B
703,45,M,W
704,40,F,H
705,58,F,W
706,29,F,H
708,38,M,H
710,0,X,X
711,36,F,B
712,23,F,H
713,45,F,W
714,0,M,W
715,25,F,O
716,25,M,O
717,47,F,W
718,6,F,H
719,52,M,W
720,37,M,W
721,66,M,W
722,42,F,H
723,34,M,W
724,8,F,B
725,59,F,H
726,42,F,H
727,2,F,B
728,47,M,H
729,13,F,B
730,52,F,W
731,55,M,B
732,5,M,B
734,71,F,B
735,17,M,H
736,36,F,B
737,58,F,H
738,62,M,C
739,26,M,B
740,45,F,O
741,26,F,H
742,36,F,B
743,49,M,H
744,54,F,H
745,44,M,W
746,70,M,W
747,54,M,B
748,37,F,B
749,45,M,H
750,53,F,B
751,55,M,B
752,52,M,W
753,27,M,O
754,50,F,W
755,3,F,H
756,33,F,H
757,36,F,H
758,23,F,B
759,57,F,B
760,30,F,A
761,36,M,W
762,21,F,B
763,16,F,H
764,35,F,B
765,33,F,K
766,8,F,O
767,0,X,X
768,21,M,H
769,40,M,W
770,22,M,W
771,45,M,B
772,53,M,O
773,43,M,W
774,43,F,H
775,14,F,O
776,41,F,B
777,65,F,O
778,30,F,H
780,50,F,A
781,33,F,H
782,15,F,B
783,30,M,O
784,36,M,B
785,26,F,B
786,35,F,B
787,38,M,H
788,38,M,O
789,12,F,H
791,41,M,H
792,20,F,H
793,39,M,H
795,11,F,H
796,44,M,B
797,13,F,H
798,25,M,H
799,70,M,W
800,75,F,H
801,41,F,W
802,37,M,H
803,36,M,O
804,59,F,W
805,0,M,W
806,60,F,H
807,16,M,O
808,46,F,A
809,57,M,A
810,31,F,B
811,28,F,B
812,10,F,H
814,59,M,H
815,31,F,O
816,29,M,B
817,23,F,H
818,47,F,W
819,77,M,B
820,46,F,H
821,28,M,H
822,34,M,B
823,51,M,O
824,32,M,B
825,31,M,H
826,30,F,B
827,0,M,W
828,72,F,W
829,39,M,B
830,27,F,H
831,30,F,H
832,25,M,H
833,53,M,W
835,22,F,W
836,26,M,B
837,29,F,H
839,50,M,H
840,34,M,W
841,54,F,W
842,37,M,A
843,45,F,B
844,14,M,W
845,30,F,O
846,34,F,K
847,22,M,V
848,34,F,K
849,44,M,H
851,0,X,X
852,33,M,W
853,64,M,O
854,24,F,B
855,10,F,H
856,65,F,W
857,33,F,W
858,67,F,F
859,48,M,H
860,28,F,H
861,12,M,H
862,33,F,B
864,55,F,B
865,25,M,W
866,38,F,H
867,27,F,H
868,7,F,H
869,28,M,H
870,53,M,W
871,23,M,B
872,61,F,H
873,51,M,H
874,50,M,B
875,12,F,H
876,8,F,H
877,39,M,B
878,24,F,B
879,37,F,W
880,30,M,B
881,44,F,W
882,64,M,B
883,30,M,A
884,14,F,X
885,51,F,H
886,14,F,H
887,46,F,P
888,19,M,B
889,68,M,W
890,27,M,O
891,57,F,W
892,31,F,H
893,51,M,H
894,25,M,W
896,13,F,H
897,28,F,O
898,57,F,W
899,61,M,B
900,28,M,H
901,53,M,H
902,29,M,B
903,42,F,O
904,64,F,W
905,18,M,H
906,25,F,H
907,67,M,H
908,54,F,H
909,31,F,W
910,70,M,W
911,66,M,B
912,52,M,B
913,24,M,W
914,38,M,A
915,57,M,A
916,42,F,H
918,31,F,H
919,24,F,B
920,56,M,W
921,28,F,B
922,13,F,H
923,23,F,W
924,62,F,W
925,41,F,B
926,32,M,O
927,29,M,B
928,25,F,H
929,47,M,O
931,71,F,H
932,0,X,X
933,0,X,X
934,28,F,A
935,29,M,H
936,15,F,H
938,50,F,H
939,19,F,B
940,49,F,B
941,45,F,H
942,30,F,H
943,36,F,B
944,44,F,W
945,41,M,W
946,62,F,W
947,44,F,H
948,81,F,H
950,28,F,O
951,25,F,H
952,42,F,H
953,13,F,B
954,84,F,H
955,4,F,A
956,40,F,W
957,69,M,W
958,13,F,W
959,51,M,H
960,29,F,B
961,19,F,W
962,27,F,W
963,45,M,W
964,0,X,X
965,0,X,X
966,55,F,F
967,38,M,O
968,0,X,X
969,13,F,H
970,0,X,X
971,60,M,W
972,41,M,B
973,22,F,P
974,32,F,H
975,64,M,X
976,46,F,H
977,31,F,B
978,0,X,X
979,32,M,W
980,27,M,O
981,24,M,H
982,55,F,W
983,34,F,B
984,17,F,B
985,24,F,B
986,24,M,B
987,58,M,H
988,12,F,H
989,21,F,A
990,27,F,B
991,51,F,H
992,68,M,K
993,0,M,O
994,44,M,O
995,0,X,X
996,61,M,W
997,53,F,A
998,63,F,W
999,21,F,W
